16086101  Blanchard
US1LABS001901  BOSSIER CITY 4 S
US1LADS000801  CONVERSE 7.8 NNW
US1LARR000601  COUSHATTA 4.3 ENE
16481601  Keithville
16552201  Logansport
16636401  Mooringsport 1 N
16734401  Plain Dealing
16773801  Red River Res Sta
16843801  Shreveport DTN AP
16844001  Shreveport SHV AP
16844801  Shreveport WFO
16844401  SHV Southern Hills
16826301  Springhill
US1LADS000601  STONEWALL 5.3 NE
16892701  Taylortown

16027702  Arcadia
16080002  Bienville 3 N
US1LAOC001602  CALHOUN 4.3 SSE
US1LAOC003502  CARLTON 1.7 E
16197902  Columbia Lock
16435502  Homer 1 N
16459202  Jamestown
US1LAJC000802  JONESBORO 3.8 ESE
16630302  Monroe MLU AP
16632002  Monroe 26 N
US1LAJC000302  QUITMAN 2.5 E
US1LABV000802  RINGGOLD 3.3 ESE
US1LAUN000202  ROCKY BRANCH 1.3 W
US1LALN000802  RUSTON 5.4 ENE
US1LALN000302  RUSTON 5.5 NNW
US1LAWP000302  SIKES 1 SW
16963102  West Monroe

US1LAWC000303  FSA-OAK GROVE 0.2 S
US1LATS000203  FSA-ST. JOSEPH 0.5 NNW
US1LAMD000103  FSA-TALLULAH 1.7 SSE
16686603  Oak Grove
US1LAWC000203  OAK GROVE 1.9 E
US1LAWC000103  PIONEER 0.3 WSW
16892603  Tallulah TVR AP
16980603  Winnsboro 5 SSE

US1LAVN000504  ANACOCO 3 SW
US1LANT000904  CAMPTI 0.6 SW
US1LANT000604  CAMPTI 5.7 ENE
US1LANT000504  GOLDONNA 1.5 N
US1LAVN000904  HORNBECK 2.3 NE
16526604  Leesville
US1LAVN000404  LEESVILLE 7.1 SSW
16589604  Many 9 WSW
16658404  Natchitoches #2
US1LASN000704  NOBLE 1.8 ESE
US1LAVN000604  PITKIN 6.6 WNW
US1LASN000304  PLEASANT HILL 10.2 SE
16907404  Toledo Bend Lake

16009805  Alexandria
16010305  Alexandria 5 SSE
16010405  Alexandria ESF AP
US1LASL001005  ARNAUDVILLE 4.7 NW
16061705  Beaver Fire Tower
16123205  Boyce 3 WNW
16128705  Bunkie
US1LAGR000305  COLFAX 7.2 NW
US1LAEV000605  EUNICE 7.1 NW
US1LACN000305  FSA-FERRIDAY 1 WSW
US1LASL000605  FSA-OPELOUSAS 1 ESE
US1LASL000105  GRAND COTEAU 2.7 E
US1LAAV000805  HESSMER 2.5 WSW
16469605  Jena
16473905  Jonesville Locks
16592005  Marksville
US1LARP001005
16772905  Red River Lock #1
16773205  Red River Lock #2
US1LALS000405  TROUT 4.4 WSW
16936905  Ville Platte
PINEVILLE 0.4 NNW

16046206  Baker
16054906  Baton Rouge BTR AP
16055806  BTR Sherwood Forest
US1LAEB007206  BATON ROUGE 0.5 ESE
US1LAEB001406  BATON ROUGE 3.5 E
US1LAEB006506  BATON ROUGE 6.2 SSE
US1LAEB003106  CENTRAL 2.2 SE
US1LAEF000906  CLINTON 0.2 NNW
16215106  Covington 8 NW
16001206  Covington Abita Rvr
US1LALV000206  DENHAM SPRINGS 6.8 N
US1LATG001906  FSA-AMITE CITY 0.8 SW
US1LAWS000506  FSA-FRANKLINTON 0.6 WSW
US1LAEF000706  JACKSON 3.6 NNE
US1LAST000806  LACOMBE 1.4 N
16543806  Livingston
US1LAEB003306  LSU
16668606  New Roads 5 NE
16680806  Norwood
16742506  Ponchatoula 4 E
US1LATG002106  PONCHATOULA 5.3 W
16744806  Port Allen
16853906  Slidell
16854306  Slidell ASD AP
US1LAST001706  SLIDELL 4.4 E
16813806  St Francisville 1 NE
16890606  Talisheek
US1LAWF000606  WAKEFIELD 0.2 E

16000707  Abbeville
US1LAAC000607  BRANCH 0.4 SSW
US1LAAC000207  CHURCH POINT 0.7 WSW
16221207  Crowley 2 NE
16264107  Dry Creek 8 NW
US1LABG000407  FSA-DE RIDDER 0.9 E
US1LACC000307  IOWA 0.9 ESE
16470007  Jennings
16477507  Kaplan
16506507  Lake Arthur 7 SW
16507407  Lake Charles 2 N
16507607  Lake Charles Port
16507807  Lake Charles LCH AP
US1LACC001407  LAKE CHARLES 4.8 SSE
16529607  Leland Bowman Lock
16643107  Moss Bluff
16643407  Moss Bluff 2 NNW
16693807  Oberlin Fire Tower
US1LABG000207  RAGLEY 5 SE
US1LAAC000307  RAYNE 1 W
16883107  Sulphur
US1LACC000607  SULPHUR 2.2 E

US1LAMY000308  BALDWIN 1.8 N
US1LASM000308  BREAUX BRIDGE 0.7 NNW
16056508  Bayou Sorrel Lock 
16153508  Carencro
16156508  Carville 2 SW
16253408  Donaldsonville 4 SW
16467408  Jeanerette 5 NW
16502608  Lafayette LFT AP
US1LALY001008  LAFAYETTE 2.9 ENE
16665708  New Iberia ARA AP
16736608  Plaquemine 2 N
US1LAIV000608  ST. GABRIEL 2.8 NNW
US1LASM000208  ST. MARTINVILLE 0.2 S

US1LAPL000109  BELLE CHASSE 1.6 NNE
16613009  Chalmette
US1LALF000809  CUT OFF 0.8 WNW
16267309  Dulac 3 N
16268809  Dutchtown #2
16369509  Gonzales
US1LATR001209  HOUMA 4.1 NNE
16666009  New Orleans MSY AP
16666709  New Orleans NEW AP
US1LAOR001909  NEW ORLEANS 2.8 E
16666509  NOLA Audubon Park
US1LAJF001409  METAIRIE 2.8 ENE
US1LALF001009  RACELAND 2.1 WSW
US1LAJF000509  RIVER RIDGE 0.7 N
US1LAAS002009  ST. AMANT 3.3 N
US1LASB000209  ST. BERNARD 2.7 E
US1LASC000609  ST. ROSE 0.3 W
16901309  Thibodaux 4 SE
US1LAOR001309  WESTWEGO 2.4 ENE
