Station Name,Climate Division,Latitude,Longitude,Avg T-Max,Avg T-Min,T-Avg,T-Avg DFN,Highest T-Max,Lowest T-Min,HDD,HDD DFN,HDD Normal,Percent of Normal HDD,CDD,CDD DFN,CDD Normal,Percent of Normal CDD,Total P,Normal P,P-DFN,1-Day Max,P-Max Date,P-Days,Missing T-Avg,Missing Total P
Blanchard,LA01,32.5937,-93.8938,79.1,58.6,68.85,-,86,39,46,-,-,-,166,-,-,-,5.65,-,1004.65,3.35,2025-04-06,9,0,0
Bossier City 4.0 S,LA01,32.4673,-93.7193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.09,-,1006.09,2.58,2025-04-21,5,30,0
Converse 7.8 NNW,LA01,31.78,-93.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.57,-,1003.57,2.49,2025-04-06,6,30,0
Coushatta 4.3 ENE,LA01,32.0289,-93.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.58,-,1002.58,2.23,2025-04-06,6,30,0
Keithville,LA01,32.3543,-93.9196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.55,5.08,2.47,3.06,2025-04-21,7,30,0
Logansport,LA01,31.9829,-94.0063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.24,4.79,3.45,2.87,2025-04-21,8,30,0
Mooringsport 1 N,LA01,32.6893,-93.9771,78.3,58.9,68.61,3.71,85,46,34,-48,90,37.77777777777778,143,64,84,170.2380952380952,4.59,4.73,-0.1400000000000006,2.8,2025-04-06,7,2,2
Plain Dealing,LA01,32.9057,-93.6924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.69,-0.2200000000000006,3.07,2025-04-06,7,30,0
RED River Research Station,LA01,31.836,-93.43,79.8,60.3,70.03,4.84,89,42,33,-58,91,36.26373626373626,191,94,97,196.9072164948454,7.64,5.56,2.08,3.16,2025-04-06,10,0,0
Shreveport Downtown Ap,LA01,32.5252,-93.8174,81.2,61.5,71.32,4.46,89,45,29,-36,65,44.61538461538462,226,105,121,186.7768595041322,8.75,4.65,4.1,3.68,2025-04-30,10,0,0
Shreveport Ap,LA01,32.4466,-93.8254,83.2,61.3,72.23,6.33,89,44,23,-55,78,29.48717948717949,246,141,105,234.2857142857143,10.25,5.19,5.06,4.53,2025-04-30,8,0,0
Shreveport WFO,LA01,32.5215,-93.8241,81,60.1,70.53,6.18,87,43,25,-70,95,26.31578947368421,199,124,75,265.3333333333333,10.06,5.17,4.890000000000001,4.56,2025-04-30,9,0,0
Shreveport Southern Hills,LA01,32.396,-93.77,81.2,57.2,69.18,5.08,89,39,52,-50,102,50.98039215686274,185,109,76,243.4210526315789,7.71,5.34,2.37,2.88,2025-04-21,8,0,0
Springhill,LA01,32.9723,-93.4618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.58,-1003.58,-,,-,30,30
Stonewall 5.3 Ne,LA01,32.14,-93.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.98,-,1006.98,2.68,2025-04-21,9,30,0
Taylortown,LA01,32.6143,-93.6024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.32,-,1007.32,3.63,2025-04-06,8,30,0
Arcadia,LA02,32.5513,-92.9196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.38,5.8,-1.42,3.11,2025-04-06,5,30,0
Bienville 3 Ne,LA02,32.71,-93.02,80.3,58.9,69.6,4.9,89,40,43,-54,97,44.32989690721649,188,100,88,213.6363636363636,4.92,5.93,-1.01,2.57,2025-04-05,10,0,0
Calhoun 4.3 SSE,LA02,32.51,-92.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.58,6.06,2.52,5.02,2025-04-06,10,30,1
Carlton 1.7 E,LA02,32.19,-93.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4,-,1003.4,3.47,2025-04-06,8,30,0
Columbia Lock,LA02,32.08,-92.1,80,58.3,69.14,4.62,89,44,36,-60,97,37.11340206185567,160,79,86,186.046511627907,4.5,6.2,-1.7,1.55,2025-04-06,8,1,1
Homer 1N,LA02,32.8002,-93.0565,80.5,57,68.77,6.57,89,37,55,-85,140,39.28571428571428,175,119,56,312.5,1.1,5.89,-4.789999999999999,0.49,2025-04-25,6,0,2
Jamestown,LA02,32.32,-93.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,5.56,0.6400000000000006,3.47,2025-04-06,5,30,0
Jonesboro 3.8 ESE,LA02,32.23,-92.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.64,-,1006.64,3.08,2025-04-06,3,30,0
Monroe Regional Ap,LA02,32.5109,-92.0378,81.9,60.4,71.13,5.63,91,44,37,-46,83,44.57831325301205,230,132,98,234.6938775510204,7.74,5.83,1.91,3.36,2025-04-05,8,0,0
